date,forecast,lower_bound,upper_bound
2020-01-01 00:00:00+00:00,36.24128633467616,31.910599642471794,40.57197302688053
2020-01-01 01:00:00+00:00,33.84985043019679,27.12239954402785,40.57730131636573
2020-01-01 02:00:00+00:00,33.13409580629068,24.631936001521744,41.63625561105962
2020-01-01 03:00:00+00:00,35.26829004732603,25.3009672250927,45.23561286955937
2020-01-01 04:00:00+00:00,40.10372093351304,28.86048503179867,51.3469568352274
2020-01-01 05:00:00+00:00,45.531924245033586,33.14348978113289,57.92035870893428
2020-01-01 06:00:00+00:00,49.27702268803301,35.84064403978529,62.713401336280725
2020-01-01 07:00:00+00:00,50.54973761810672,36.141433263512695,64.95804197270074
2020-01-01 08:00:00+00:00,50.643347008680294,35.32465915364292,65.96203486371766
2020-01-01 09:00:00+00:00,49.85904724860133,33.68112523038832,66.03696926681434
2020-01-01 10:00:00+00:00,48.12062602487437,31.126858812899023,65.11439323684971
2020-01-01 11:00:00+00:00,46.914609439188595,29.14240959554959,64.6868092828276
2020-01-01 12:00:00+00:00,45.67277592962573,27.154837315685008,64.19071454356646
2020-01-01 13:00:00+00:00,45.510930412695664,26.276143859756967,64.74571696563436
2020-01-01 14:00:00+00:00,46.92584775233289,26.99998573924684,66.85170976541895
2020-01-01 15:00:00+00:00,50.90383764142127,30.310077902316312,71.49759738052623
2020-01-01 16:00:00+00:00,56.93099299667586,35.69032673077415,78.17165926257758
2020-01-01 17:00:00+00:00,57.20027968978356,35.33183514869081,79.06872423087631
2020-01-01 18:00:00+00:00,54.00768404382033,31.52898679788805,76.48638128975261
2020-01-01 19:00:00+00:00,50.013724072911735,26.940909049561892,73.08653909626157
2020-01-01 20:00:00+00:00,46.8197893599174,23.167775569773596,70.4718031500612
2020-01-01 21:00:00+00:00,45.00190481184805,20.78454080259664,69.21926882109946
2020-01-01 22:00:00+00:00,42.17097643649205,17.40116249322654,66.94079037975756
2020-01-01 23:00:00+00:00,40.0073369078464,14.697128571862518,65.31754524383028
2020-01-02 00:00:00+00:00,37.31732847448629,11.197845653564343,63.43681129540823
2020-01-02 01:00:00+00:00,34.92290675365825,7.960964444148736,61.88484906316777
2020-01-02 02:00:00+00:00,33.95635332242007,6.173966588570462,61.73874005626968
2020-01-02 03:00:00+00:00,35.96587008674303,7.386369739089009,64.54537043439706
2020-01-02 04:00:00+00:00,40.60136168955572,11.246371981502055,69.9563513976094
2020-01-02 05:00:00+00:00,46.58554136937373,16.475027456647133,76.69605528210033
2020-01-02 06:00:00+00:00,50.41286949960775,19.565330240996786,81.26040875821872
2020-01-02 07:00:00+00:00,51.81117061887579,20.243809172058196,83.37853206569339
2020-01-02 08:00:00+00:00,51.88572286258478,19.61459119467405,84.15685453049551
2020-01-02 09:00:00+00:00,51.06988236028971,18.110004181784177,84.02976053879524
2020-01-02 10:00:00+00:00,49.47969445102234,15.845170521638963,83.11421838040572
2020-01-02 11:00:00+00:00,48.26586317822876,13.96996210578859,82.56176425066894
2020-01-02 12:00:00+00:00,46.908095604374296,11.96333260925666,81.85285859949192
2020-01-02 13:00:00+00:00,46.66538783032716,11.083593451750872,82.24718220890345
2020-01-02 14:00:00+00:00,47.88739856370031,11.679778901347149,84.09501822605347
2020-01-02 15:00:00+00:00,51.73630003876853,14.913489825152787,88.55911025238427
2020-01-02 16:00:00+00:00,57.89739128291432,20.469500847541077,95.32528171828756
2020-01-02 17:00:00+00:00,58.47504615277978,20.45170315329269,96.49838915226687
2020-01-02 18:00:00+00:00,55.55245839205057,16.94284503901394,94.16207174508719
2020-01-02 19:00:00+00:00,51.58477872316717,12.397665105482538,90.77189234085179
2020-01-02 20:00:00+00:00,48.31602677777096,8.5598007986911,88.07225275685082
2020-01-02 21:00:00+00:00,46.57402991307365,6.256724267557125,86.89133555859019
2020-01-02 22:00:00+00:00,43.58352646414253,2.7128430232181415,84.45420990506692
2020-01-02 23:00:00+00:00,40.751911945429626,-0.664756140512651,82.1685800313719
2020-01-03 00:00:00+00:00,37.95157837029169,-4.095064272444574,79.99822101302796
2020-01-03 01:00:00+00:00,35.55647758319538,-7.1285534603946275,78.24150862678539
2020-01-03 02:00:00+00:00,34.5328848064996,-8.782216825545262,77.84798643854447
2020-01-03 03:00:00+00:00,36.51404608643797,-7.422158127588389,80.45025030046433
2020-01-03 04:00:00+00:00,41.10406536034986,-3.4445868660925925,85.6527175867923
2020-01-03 05:00:00+00:00,47.214691128468374,2.0618970603374223,92.36748519659932
2020-01-03 06:00:00+00:00,51.06072081309551,5.311762240018943,96.80967938617206
2020-01-03 07:00:00+00:00,52.487584085853655,6.1501304552362015,98.82503771647112
2020-01-03 08:00:00+00:00,52.55780214952803,5.639234317341042,99.47636998171501
2020-01-03 09:00:00+00:00,51.73478831451104,4.24221620183458,99.2273604271875
2020-01-03 10:00:00+00:00,50.17831321002822,2.118591983911678,98.23803443614477
2020-01-03 11:00:00+00:00,48.962704637564336,0.3424495705009676,97.58295970462771
2020-01-03 12:00:00+00:00,47.57857009963306,-1.595829756802047,96.75296995606817
2020-01-03 13:00:00+00:00,47.3174717667661,-2.4048974416176563,97.03984097514984
2020-01-03 14:00:00+00:00,48.495609617836514,-1.7687554746332594,98.7599747103063
2020-01-03 15:00:00+00:00,52.31515242601077,1.5145737225810407,103.11573112944049
2020-01-03 16:00:00+00:00,58.50670480159854,7.175513552440663,109.83789605075641
2020-01-03 17:00:00+00:00,59.15449205825371,7.298117392144562,111.01086672436286
2020-01-03 18:00:00+00:00,56.29331237679716,3.9170201066664774,108.66960464692784
